Timestamp,Packets [total],Losses [Total],Losses [Difference]
0.805084,100001,0,0
1.665839,200001,0,0
2.640552,300001,0,0
3.697231,400001,0,0
4.735489,500001,0,0
5.772443,600001,0,0
6.80245,700001,0,0
7.832216,800001,0,0
8.862843,900001,0,0
9.895566,1000001,0,0
10.929639,1100001,0,0
11.949658,1200001,0,0
12.974214,1300001,0,0
14.006425,1400001,0,0
15.023172,1500001,0,0
16.041044,1600001,0,0
17.066182,1700001,0,0
18.096775,1800001,0,0
19.11998,1900001,0,0
20.135869,2000001,0,0
21.16569,2100001,0,0
22.185195,2200001,0,0
23.201028,2300001,0,0
24.226576,2400001,0,0
25.261975,2500001,0,0
26.304879,2600001,0,0
27.340271,2700001,0,0
28.373687,2800001,0,0
29.403488,2900001,0,0
30.418908,3000001,0,0
31.446617,3100001,0,0
32.459644,3200001,0,0
33.47666,3300001,0,0
34.490377,3400001,0,0
35.505221,3500001,0,0
36.528077,3600001,0,0
37.564404,3700001,0,0
38.570256,3800001,0,0
39.580796,3900001,0,0
40.586941,4000001,0,0
41.6098,4100001,0,0
42.616137,4200001,0,0
43.632028,4300001,0,0
44.640221,4400001,0,0
45.643877,4500001,0,0
46.652101,4600001,0,0
47.666303,4700001,0,0
48.679075,4800001,0,0
49.686826,4900001,0,0
50.694375,5000001,0,0
51.691946,5100001,0,0
52.702295,5200001,0,0
53.715164,5300001,0,0
54.725294,5400001,0,0
55.729839,5500001,0,0
56.732595,5600001,0,0
57.754753,5700001,0,0
58.772765,5800001,0,0
59.787893,5900001,0,0
60.805388,6000001,0,0
61.808323,6100001,0,0
62.825074,6200001,0,0
63.852622,6300001,0,0
64.879239,6400001,0,0
65.900291,6500001,0,0
66.913427,6600001,0,0
67.9298,6700001,0,0
68.949352,6800001,0,0
69.960279,6900001,0,0
70.971397,7000001,0,0
71.984187,7100001,0,0
72.987835,7200001,0,0
73.999687,7300001,0,0
75.003971,7400001,0,0
76.019059,7500001,0,0
77.026661,7600001,0,0
78.045747,7700001,0,0
79.066294,7800001,0,0
80.079565,7900001,0,0
81.090103,8000001,0,0
82.104516,8100001,0,0
83.118372,8200001,0,0
84.129113,8300001,0,0
85.138294,8400001,0,0
86.154533,8500001,0,0
87.164585,8600001,0,0
88.176797,8700001,0,0
89.188206,8800001,0,0
90.192832,8900001,0,0
91.215034,9000001,0,0
92.231874,9100001,0,0
93.237181,9200001,0,0
94.259353,9300001,0,0
95.264601,9400001,0,0
96.280333,9500001,0,0
97.300889,9600001,0,0
98.317559,9700001,0,0
99.331741,9800001,0,0
100.353953,9900001,0,0
101.370818,10000001,0,0
102.381972,10100001,0,0
103.38755,10200001,0,0
104.39425,10300001,0,0
105.40592,10400001,0,0
106.412212,10500001,0,0
107.41861,10600001,0,0
108.430633,10700001,0,0
109.441665,10800001,0,0
110.457462,10900001,0,0
111.474515,11000001,0,0
112.485948,11100001,0,0
113.493761,11200001,0,0
114.506488,11300001,0,0
115.523785,11400001,0,0
116.538002,11500001,0,0
117.545159,11600001,0,0
118.564342,11700001,0,0
119.57112,11800001,0,0
120.598655,11900001,0,0
121.611492,12000001,0,0
122.622578,12100001,0,0
123.638293,12200001,0,0
124.660967,12300001,0,0
125.676026,12400001,0,0
126.695388,12500001,0,0
127.712514,12600001,0,0
128.722347,12700001,0,0
129.739221,12800001,0,0
130.759051,12900001,0,0
131.778258,13000001,0,0
132.799172,13100001,0,0
133.825549,13200001,0,0
134.843158,13300001,0,0
135.855998,13400001,0,0
136.866369,13500001,0,0
137.865944,13600001,0,0
138.870913,13700001,0,0
139.8831,13800001,0,0
140.888629,13900001,0,0
141.888894,14000001,0,0
142.894179,14100001,0,0
143.904684,14200001,0,0
144.914778,14300001,0,0
145.919881,14400001,0,0
146.926339,14500001,0,0
147.950381,14600001,0,0
148.983216,14700001,0,0
150.021192,14800001,0,0
151.058392,14900001,0,0
152.075146,15000001,0,0
153.091024,15100001,0,0
154.102851,15200001,0,0
155.116762,15300001,0,0
156.130554,15400001,0,0
157.140217,15500001,0,0
158.158156,15600001,0,0
159.175094,15700001,0,0
160.17629,15800001,0,0
161.185892,15900001,0,0
162.201967,16000001,0,0
163.210168,16100001,0,0
164.248775,16200001,0,0
165.269436,16300001,0,0
166.30002,16400001,0,0
167.326163,16500001,0,0
168.343472,16600001,0,0
169.355561,16700001,0,0
170.362091,16800001,0,0
171.365198,16900001,0,0
172.368679,17000001,0,0
173.379726,17100001,0,0
174.38696,17200001,0,0
175.395141,17300001,0,0
176.394298,17400001,0,0
177.40401,17500001,0,0
178.412889,17600001,0,0
179.412515,17700001,0,0
180.418884,17800001,0,0
181.427953,17900001,0,0
182.448424,18000001,0,0
183.45746,18100001,0,0
184.466556,18200001,0,0
185.475732,18300001,0,0
186.488502,18400001,0,0
187.501115,18500001,0,0
188.520433,18600001,0,0
189.52839,18700001,0,0
190.531801,18800001,0,0
191.550795,18900001,0,0
192.557912,19000001,0,0
193.569898,19100001,0,0
194.580116,19200001,0,0
195.591976,19300001,0,0
196.59644,19400001,0,0
197.599228,19500001,0,0
198.616132,19600001,0,0
199.627631,19700001,0,0
200.63848,19800001,0,0
201.65622,19900001,0,0
202.677121,20000001,0,0
203.701854,20100001,0,0
204.71892,20200001,0,0
205.73022,20300001,0,0
206.744117,20400001,0,0
207.755056,20500001,0,0
208.768788,20600001,0,0
209.786208,20700001,0,0
210.797003,20800001,0,0
211.819847,20900001,0,0
212.832501,21000001,0,0
213.850197,21100001,0,0
214.864519,21200001,0,0
215.876691,21300001,0,0
